Date,close,open,high,low,change,volume
2009-10-22,21475,-380,21680,21755,21425,33226000000
2009-10-23,21625,150,21605,21735,21530,37712000000
2009-10-26,21930,305,21525,21995,21515,35680000000
2009-10-27,21830,-100,21805,21845,21665,28591000000
2009-10-28,21265,-565,21830,21840,21220,54289000000
2009-10-29,20920,-345,20965,21010,20685,78150000000
2009-10-30,20880,-40,21165,21180,20880,223866000000
2009-11-02,20600,-280,20500,20745,20450,32208000000
2009-11-03,20455,-145,20600,20645,20455,205819000000
2009-11-04,20850,395,20490,20850,20475,165446000000
2009-11-05,20515,-335,20750,20780,20500,271588000000
2009-11-06,20785,270,20815,20830,20700,111925000000
2009-11-09,20865,80,20820,21110,20810,26379000000
2009-11-10,20930,65,21100,21215,20930,31094000000
2009-11-11,21175,245,21020,21175,20920,34242000000
2009-11-12,20960,-215,21205,21275,20960,176756000000
2009-11-13,20840,-120,20950,21060,20725,31472000000
2009-11-16,21155,315,20900,21155,20790,30803000000
2009-11-17,21080,-75,21235,21290,21060,37743000000
2009-11-18,21315,235,21150,21450,21140,46621000000
2009-11-19,21570,255,21395,21640,21390,32947000000
2009-11-20,21560,-10,21420,21625,21420,23199000000
2009-11-23,21550,-10,21600,21690,21485,23215000000
2009-11-24,21355,-195,21650,21675,21300,37180000000
2009-11-25,21430,75,21395,21460,21290,24677000000
2009-11-26,21260,-170,21430,21570,21260,34384000000
2009-11-27,20265,-995,21020,21085,20200,124536000000
2009-11-30,20670,405,20625,20840,20530,101076000000
2009-12-01,20880,210,20670,20890,20500,52665000000
2009-12-02,21180,300,21025,21270,21015,60366000000
2009-12-03,21530,350,21275,21530,21265,37707000000
2009-12-04,21635,105,21420,21720,21420,32388000000
2009-12-07,21735,100,21715,21795,21665,30104000000
2009-12-08,21680,-55,21730,21830,21620,25970000000
2009-12-09,21760,80,21530,21790,21455,28641000000
2009-12-10,21750,-10,21795,21865,21460,147310000000
2009-12-11,22085,335,21860,22215,21860,35962000000
2009-12-14,22145,60,22195,22195,21900,32937000000
2009-12-15,22150,5,22150,22185,22010,21794000000
2009-12-16,22085,-65,22125,22225,21975,43829000000
2009-12-17,21880,-205,22085,22140,21880,53990000000
2009-12-18,21855,-25,21730,21910,21680,29444000000
2009-12-21,21835,-20,21835,21910,21715,18838000000
2009-12-22,21995,160,21945,22000,21885,26261000000
2009-12-23,22075,80,22060,22080,22000,32872000000
2009-12-24,22375,300,22080,22480,22080,29071000000
2009-12-28,22325,-50,22490,22505,22290,50536000000
2009-12-29,22425,100,22315,22540,22280,34474000000
2009-12-30,22575,150,22425,22605,22345,37955000000
2010-01-04,22710,135,22575,22750,22575,20031000000
2010-01-05,22690,-20,22790,22800,22640,40501000000
2010-01-06,22845,155,22740,22895,22730,21982000000
2010-01-07,22565,-280,22850,22875,22565,28435000000
2010-01-08,22650,85,22670,22680,22385,32219000000
2010-01-11,22650,0,22680,22785,22565,25313000000
2010-01-12,22675,25,22680,22710,22480,20926000000
2010-01-13,22305,-370,22580,22580,22295,39288000000
2010-01-14,22570,265,22400,22665,22380,27713000000
2010-01-15,22675,105,22630,22750,22520,24545000000
2010-01-18,22790,115,22560,22865,22500,28790000000
