Date,close,open,high,low,change,volume
2019-01-02,26270,-310,26780,26820,26185,126832000000
2019-01-03,26015,-255,26265,26295,25985,147638000000
2019-01-04,26215,200,26005,26250,25935,268204000000
2019-01-07,26590,375,26545,26785,26530,151074000000
2019-01-08,26415,-175,26600,26680,26400,123855000000
2019-01-09,26960,545,26525,27045,26525,141612000000
2019-01-10,26950,-10,26985,27110,26880,159970000000
2019-01-11,27115,165,27065,27195,26975,137004000000
2019-01-14,26880,-235,27060,27090,26855,95618000000
2019-01-15,27420,540,26980,27435,26965,129647000000
2019-01-16,27540,120,27410,27540,27330,181576000000
2019-01-17,27600,60,27600,27720,27500,133859000000
2019-01-18,27810,210,27755,27835,27690,157536000000
2019-01-21,27825,15,27995,28000,27665,159862000000
2019-01-22,27685,-140,27850,27895,27585,142649000000
2019-01-23,27845,160,27580,27905,27565,111693000000
2019-01-24,28075,230,27830,28075,27795,161288000000
2019-01-25,28585,510,28160,28605,28125,203008000000
2019-01-28,28570,-15,28640,28765,28475,214022000000
2019-01-29,28705,135,28525,28705,28390,155263000000
2019-01-30,29055,350,28690,29055,28660,242583000000
2019-01-31,29025,-30,29330,29340,29020,213062000000
2019-02-01,28995,-30,29125,29265,28955,229162000000
2019-02-07,28995,0,29160,29195,28915,157072000000
2019-02-08,28585,-410,28840,28855,28530,179509000000
2019-02-11,28635,50,28590,28635,28450,197211000000
2019-02-12,28790,155,28640,28860,28590,276603000000
2019-02-13,28935,145,28920,28970,28840,117813000000
2019-02-14,29215,280,28845,29215,28710,143424000000
2019-02-15,28830,-385,29090,29090,28710,120685000000
2019-02-18,29040,210,28975,29140,28915,155113000000
2019-02-19,28905,-135,28985,29050,28740,139768000000
2019-02-20,29240,335,29100,29350,29030,192066000000
2019-02-21,29240,0,29140,29355,29020,143423000000
2019-02-22,29255,15,29185,29255,29090,74455000000
2019-02-25,29315,60,29420,29465,29205,128882000000
2019-02-26,29205,-110,29300,29335,29145,213857000000
2019-02-27,29300,95,29305,29370,29240,104345000000
2019-02-28,28805,-495,29255,29300,28805,167684000000
2019-03-04,28665,-140,29005,29115,28660,151863000000
2019-03-05,28465,-200,28575,28605,28375,144337000000
2019-03-06,28385,-80,28445,28445,28320,142830000000
2019-03-07,28300,-85,28365,28520,28195,245832000000
2019-03-08,27915,-385,28170,28215,27915,207259000000
2019-03-11,27935,20,27950,28030,27835,469839000000
2019-03-12,28220,285,28130,28280,28130,262960000000
2019-03-13,28015,-205,28135,28140,27820,326618000000
2019-03-14,28090,75,28105,28195,27925,135737000000
2019-03-15,28415,325,28060,28515,28055,167102000000
2019-03-18,28440,25,28475,28525,28370,310842000000
2019-03-19,28410,-30,28470,28495,28315,158400000000
2019-03-20,28445,35,28335,28450,28085,314141000000
2019-03-21,28640,195,28500,28885,28500,339582000000
2019-03-22,28705,65,28785,28865,28650,254965000000
2019-03-25,28150,-555,28330,28375,28150,128817000000
2019-03-26,28170,20,28210,28265,28135,177243000000
2019-03-27,28165,-5,28110,28260,27930,157944000000
2019-03-28,28010,-155,28000,28120,27885,129758000000
2019-03-29,28175,165,28030,28190,27960,195176000000
2019-04-01,28550,375,28315,28585,28315,142461000000
2019-04-02,28660,110,28610,28735,28600,163835000000
2019-04-03,29080,420,28690,29080,28625,144219000000
2019-04-04,29110,30,29075,29295,29030,219601000000
2019-04-05,29165,55,29115,29255,29095,142504000000
2019-04-08,29095,-70,29270,29290,29015,205685000000
2019-04-09,29145,50,29130,29300,29035,177269000000
2019-04-10,29295,150,29040,29300,29025,195651000000
2019-04-11,29230,-65,29330,29365,29125,157724000000
2019-04-12,29300,70,29205,29360,29075,198370000000
2019-04-15,29420,120,29390,29570,29390,240427000000
2019-04-16,29535,115,29375,29555,29375,132528000000
2019-04-17,29515,-20,29550,29600,29480,429168000000
2019-04-18,29045,-470,29540,29575,29005,178171000000
2019-04-19,29050,5,29155,29220,29045,129099000000
2019-04-22,29055,5,29060,29230,28930,122394000000
2019-04-23,29105,50,29050,29165,29000,271395000000
2019-04-24,28790,-315,29220,29245,28660,198512000000
2019-04-25,28745,-45,28755,28885,28675,58748000000
2019-04-26,28575,-170,28610,28690,28435,85628000000
2019-04-29,28675,565,28220,28675,28165,111288000000
2019-04-30,28495,-180,28675,28675,28260,331388000000
2019-05-02,28620,125,28390,28700,28310,89915000000
2019-05-03,28365,-255,28600,28600,28315,114732000000
2019-05-07,28140,-225,28115,28165,27870,169585000000
2019-05-08,28010,-130,27775,28175,27765,132939000000
2019-05-09,27190,-820,27890,27935,27155,267472000000
2019-05-10,27240,50,27320,27445,26980,272346000000
2019-05-13,26920,-320,27030,27155,26870,167756000000
2019-05-14,26870,-50,26625,27060,26600,343358000000
2019-05-15,26995,125,26960,27090,26750,208972000000
2019-05-16,26615,-380,26955,26995,26555,309725000000
2019-05-17,26440,-175,26740,26815,26400,153354000000
2019-05-20,26510,70,26530,26770,26455,108902000000
2019-05-21,26640,130,26510,26860,26480,226188000000
2019-05-22,26700,60,26710,26770,26400,144148000000
2019-05-23,26665,-35,26700,26720,26465,116444000000
2019-05-24,26470,-195,26560,26645,26335,127796000000
2019-05-27,26490,20,26440,26605,26345,102927000000
2019-05-28,26530,40,26480,26620,26365,126007000000
2019-05-29,26170,-360,26445,26455,26050,147303000000
2019-05-30,26410,240,26230,26430,26205,152952000000
2019-05-31,26365,-45,26360,26525,26190,228271000000
2019-06-03,26800,435,26320,26830,26245,118270000000
2019-06-04,26750,-50,26780,26845,26685,176502000000
2019-06-05,26780,30,27000,27060,26745,138303000000
2019-06-07,26790,10,26780,26995,26615,102209000000
2019-06-10,27180,390,26930,27240,26865,115824000000
2019-06-11,27335,155,27130,27375,27105,46558000000
2019-06-12,27240,-95,27330,27430,27215,62353000000
2019-06-13,27015,-225,27140,27265,26830,167773000000
2019-06-14,27010,-5,27015,27160,26870,142842000000
2019-06-17,27025,15,26985,27160,26925,81027000000
2019-06-18,27160,135,27005,27200,26985,113754000000
2019-06-19,27500,340,27465,27565,27415,124558000000
2019-06-20,27595,95,27510,27610,27455,165112000000
2019-06-21,27520,-75,27610,27630,27465,129643000000
2019-06-24,27565,45,27545,27680,27530,116205000000
2019-06-25,27525,-40,27540,27705,27415,182151000000
2019-06-26,27555,30,27490,27625,27470,258400000000
2019-06-27,27890,335,27635,27940,27580,226803000000
2019-06-28,27820,-70,27890,27935,27755,154425000000
2019-07-01,27825,5,28030,28100,27785,155800000000
2019-07-02,27670,-155,27705,27830,27550,173282000000
2019-07-03,27315,-355,27650,27740,27275,133136000000
2019-07-04,27545,230,27345,27550,27285,152421000000
2019-07-05,27505,-40,27550,27605,27335,128003000000
2019-07-08,26930,-575,27305,27305,26925,144563000000
2019-07-09,26875,-55,27010,27105,26875,151559000000
